,,BCQ,BCQ,CQL,CQL,IQL,IQL,BC,BC
1,50,-15.7704084494112,-22.7458018680368,-23.0968231581483,-26.1972263788636,-18.9570025670266,-17.3457244324598,-37.2172223293281,-14.384971027429
2,100,-23.5489330332585,-19.4721341556728,-17.3211010724168,-16.4970122706895,-19.0873679753539,-20.4722148052709,-19.9513525352348,-13.4380785817509
3,150,-13.1891522413999,-17.5221421148107,-11.9126997478325,-13.6122536465328,-15.6923935033624,-13.9441166125638,-19.4796087648245,-20.4675607163874
4,200,-18.6636692823511,-13.9332026659534,-18.4419448104443,-20.4027833760974,-14.2287272402313,-15.2665645178053,-23.2046608309778,-107.765606068205
5,250,-16.4626850644411,-20.7413196950115,-17.1905310786099,-18.9279191405955,-16.9090082233262,-15.6250964238494,-33.35358975429,-23.252066094263
6,300,-13.7898791203506,-13.6063958184649,-19.2211468050075,-19.8957256876482,-17.8075490679357,-14.580116156296,-28.2781001701849,-14.8176617680646
7,350,-22.9112166175741,-24.6347178947309,-21.0000705817588,-19.1763844799798,-65.2466451810458,-19.5647101159181,-19.1086593512738,-91.0326934917255
8,400,-13.9144623003711,-21.8173325291375,-17.9300109473296,-18.5799220236774,-20.1557226690977,-21.713376941119,-52.4122745818325,-53.5610295490975
9,450,-25.9392138628179,-20.6899519776609,-22.8479015983885,-16.9010212636859,-46.2864829301979,-24.1202786291516,-43.9888151886536,-74.5475205079251
10,500,-23.0180405030777,-26.6062324425598,-15.8437223781745,-18.1698286859859,-75.2028052400325,-24.7787397620932,-62.1370309068911,-75.0815445385559
11,550,-17.9483663771963,-14.3475535755513,-19.8871072276534,-13.334593795963,-60.9276941196588,-48.9557555280294,-60.0364059971374,-71.830566955005
12,600,-29.2244965977368,-28.5211792668412,-21.2711068761056,-18.1654641332804,-61.2142807440318,-56.1216444658191,-36.129667349191,-82.173280033147
13,650,-25.2207180556339,-24.7754033263593,-13.09201448949,-14.5964798102901,-31.4480198622499,-61.8149452279571,-59.8071454579508,-80.979254504131
14,700,-24.363400023029,-26.1935072412011,-18.9475087445476,-15.3090282467694,-78.7377870354011,-63.5255687185767,-85.7749993406234,-73.7798531726787
15,750,-21.2177945496243,-29.094988489364,-15.5569964636427,-13.1069899044288,-58.4942110484768,-67.673442815684,-42.4322125708739,-79.4154553019881
16,800,-15.9972870596187,-88.5554965477034,-17.6612731992704,-17.5584677279957,-65.3707696245914,-66.2828149326721,-73.8961379155349,-52.2176464216391
17,850,-12.4867689409884,-26.306877038144,-17.0622283328776,-15.4084350007567,-72.3263210538499,-62.525865187789,-42.8837541169799,-74.0828672244965
18,900,-17.6252261465414,-17.7866246242408,-14.4711422265348,-13.4120528798616,-66.4443751506475,-69.6054998798265,-92.3229963528566,-35.1272168461282
19,950,-19.7121599604083,-21.8528330421079,-16.5012855074503,-13.6799497221675,-66.8475086974417,-71.0407252417658,-36.5350199990327,-27.0687466601469
20,1000,-16.1933496102315,-14.4421190451759,-20.4221005236288,-20.3032957511996,-63.0407730348974,-74.1071850253703,-40.6972799424901,-75.4584509832821
21,1050,-17.6710537635649,-20.0717644770994,-40.169049650224,-22.8938503906156,-45.648025371942,-67.6970241195848,-40.9880965539229,-44.6721895668536
22,1100,-17.0705385890856,-13.0455692985201,-13.0182136506717,-17.838650012884,-56.9251218344365,-74.8856835050811,-69.8367529594272,-49.3698215025181
23,1150,-110.291409423695,-17.5447270407624,-17.487837618813,-17.8552057528709,-67.7668513165079,-69.4448828289702,-49.4922066333314,-30.2079121195423
